"age","insured_sex","policy_state","policy_csl","incident_type","incident_severity","collision_type","authorities_contacted","total_claim_amount","fraud_reported","haute_reclamation","jeune_conducteur","prob_reclam"
27,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Police",40810,"Y",1,0,0.27930174563591
43,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",75400,"N",1,0,0.283018867924528
45,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",52650,"Y",1,0,0.27930174563591
49,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",42240,"N",1,0,0.283018867924528
39,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Other",59490,"N",1,0,0.283018867924528
37,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",44200,"Y",1,0,0.283018867924528
57,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Other",61440,"N",1,0,0.27930174563591
37,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",54400,"Y",1,0,0.27930174563591
47,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",58560,"N",1,0,0.283018867924528
34,"MALE","IN","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Fire",67300,"Y",1,0,0.283018867924528
55,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",36740,"Y",1,0,0.283018867924528
30,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",85690,"N",1,0,0.283018867924528
31,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",34160,"Y",1,0,0.27930174563591
48,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Fire",61320,"N",1,0,0.283018867924528
45,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Police",79680,"N",1,0,0.27930174563591
30,"FEMALE","IL","250/500","Single Vehicle Collision","Total Loss","Front Collision","Fire",61740,"N",1,0,0.283018867924528
55,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",60600,"N",1,0,0.283018867924528
38,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",56320,"N",1,0,0.27930174563591
34,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",52250,"N",1,0,0.283018867924528
60,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Other",53900,"N",1,0,0.27930174563591
38,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Fire",55200,"Y",1,0,0.27930174563591
39,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Police",64680,"N",1,0,0.27930174563591
43,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Police",59200,"N",1,0,0.283018867924528
33,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Side Collision","Other",69400,"N",1,0,0.283018867924528
21,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Side Collision","Police",40500,"N",1,1,0.283018867924528
28,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",60000,"N",1,0,0.27930174563591
30,"MALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Other",67320,"N",1,0,0.283018867924528
27,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",75690,"N",1,0,0.27930174563591
31,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",64300,"Y",1,0,0.27930174563591
43,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",64400,"N",1,0,0.27930174563591
38,"FEMALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Other",30700,"N",1,0,0.27930174563591
48,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Police",33480,"N",1,0,0.283018867924528
26,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Police",65430,"N",1,0,0.27930174563591
36,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Police",42680,"Y",1,0,0.27930174563591
45,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Fire",87780,"N",1,0,0.283018867924528
36,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Fire",72800,"N",1,0,0.27930174563591
37,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",71190,"Y",1,0,0.283018867924528
41,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Other",62640,"N",1,0,0.283018867924528
36,"MALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",69630,"N",1,0,0.27930174563591
33,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",76010,"Y",1,0,0.27930174563591
40,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Other",44220,"N",1,0,0.283018867924528
38,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",57200,"N",1,0,0.27930174563591
31,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Other",75790,"N",1,0,0.283018867924528
30,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",32670,"N",1,0,0.27930174563591
32,"MALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Other",74690,"Y",1,0,0.283018867924528
32,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Side Collision","Police",55000,"Y",1,0,0.283018867924528
48,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",59400,"Y",1,0,0.27930174563591
34,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Fire",55260,"N",1,0,0.27930174563591
44,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Other",51400,"N",1,0,0.27930174563591
37,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",48780,"N",1,0,0.27930174563591
31,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",52380,"N",1,0,0.27930174563591
34,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Other",74360,"Y",1,0,0.27930174563591
40,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Police",53400,"N",1,0,0.283018867924528
59,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",71800,"N",1,0,0.283018867924528
31,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Other",68240,"Y",1,0,0.283018867924528
45,"FEMALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",61050,"Y",1,0,0.27930174563591
48,"FEMALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Fire",46860,"N",1,0,0.27930174563591
57,"FEMALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Police",78500,"N",1,0,0.27930174563591
42,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Police",70830,"N",1,0,0.283018867924528
56,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",68040,"N",1,0,0.27930174563591
32,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Fire",63600,"Y",1,0,0.283018867924528
63,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Other",43560,"N",1,0,0.283018867924528
31,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Front Collision","Police",60840,"N",1,0,0.283018867924528
55,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Police",68160,"N",1,0,0.27930174563591
37,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",57700,"N",1,0,0.283018867924528
39,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",45180,"N",1,0,0.283018867924528
38,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Side Collision","Other",45100,"N",1,0,0.283018867924528
32,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",83160,"N",1,0,0.27930174563591
42,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Police",86130,"N",1,0,0.283018867924528
25,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Fire",48000,"N",1,0,0.27930174563591
34,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",57200,"N",1,0,0.27930174563591
37,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Police",80080,"N",1,0,0.283018867924528
29,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",62900,"N",1,0,0.27930174563591
32,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Police",54200,"Y",1,0,0.283018867924528
50,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Police",51800,"N",1,0,0.27930174563591
35,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Side Collision","Fire",74140,"N",1,0,0.283018867924528
25,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Fire",67800,"N",1,0,0.283018867924528
44,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",55400,"Y",1,0,0.283018867924528
37,"MALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",49100,"Y",1,0,0.283018867924528
40,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",66550,"N",1,0,0.27930174563591
33,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Fire",70400,"N",1,0,0.27930174563591
42,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",53280,"Y",1,0,0.27930174563591
32,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Front Collision","Other",84590,"N",1,0,0.283018867924528
37,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Other",54560,"N",1,0,0.283018867924528
40,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",82170,"N",1,0,0.283018867924528
44,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",61100,"N",1,0,0.27930174563591
43,"MALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Police",51900,"Y",1,0,0.27930174563591
36,"MALE","IN","250/500","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",51390,"N",1,0,0.283018867924528
32,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Side Collision","Other",76900,"N",1,0,0.283018867924528
42,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",77000,"Y",1,0,0.283018867924528
39,"MALE","IL","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Other",60320,"Y",1,0,0.283018867924528
46,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",60700,"N",1,0,0.283018867924528
21,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Police",53280,"N",1,1,0.27930174563591
43,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",34290,"N",1,0,0.283018867924528
44,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Other",46980,"N",1,0,0.283018867924528
26,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Fire",36700,"N",1,0,0.27930174563591
28,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Other",60200,"N",1,0,0.27930174563591
38,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",87200,"N",1,0,0.283018867924528
34,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",67500,"N",1,0,0.27930174563591
62,"MALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Other",46980,"N",1,0,0.283018867924528
